term,public_analytics_candidate,public_recovered_count,public_recovered_examples,sources
azure machine learning,True,0,,public_analytics
bayesian hierarchical modeling,True,0,,public_analytics
behavioral modeling,True,1,and behavioral modeling and simulation for bfs/retail,"public_analytics,public_recovered"
building predictive models,True,0,,public_analytics
data mining,True,3,agile work environment - data mining | data mining and statistical analysis | data mining expertise sql required,"public_analytics,public_recovered"
data modeling,True,2,conceptual and logical data modeling | data modeling and hypothesis generation,"public_analytics,public_recovered"
deep learning networks,True,0,,public_analytics
linear regression,True,0,,public_analytics
logistic regression,True,0,,public_analytics
machine learning - python,True,0,,public_analytics
machine learning algorithms,True,0,,public_analytics
machine learning aml python,True,0,,public_analytics
machine learning jda software,True,0,,public_analytics
machine learning ml,True,0,,public_analytics
machine learning models,True,0,,public_analytics
modeling - python,True,0,,public_analytics
natural language processing,False,4,experience with nlp technologies/data science in a clinical background | 1 python 2 nlp 3 deep learning | at least 2 to 4 years professional experience in nlp,public_recovered
predictive modeling,True,1,building predictive models - r,"public_analytics,public_recovered"
python - machine learning,True,0,,public_analytics
quantitative modeling,True,0,,public_analytics
spark - machine learning,True,0,,public_analytics
statistical analysis,True,2,data mining and statistical analysis | statistical analysis and data driven insights,"public_analytics,public_recovered"
statistical analysis/modeling,True,0,,public_analytics
statistical regression,True,0,,public_analytics
statistical/machine learning algorithms,True,0,,public_analytics
statistics or data modeling,True,0,,public_analytics
statistics/data modeling,True,0,,public_analytics
