term,count,raw_examples,already_in_common_skills,already_in_analytics_ml_signals,already_in_tooling_signals,candidate_common_skill,candidate_analytics_ml_signal,candidate_tooling_signal,candidate_baseline_families
python,268,' python' | ['python' | ' python'] | 'python' | ['python'],True,False,True,False,False,False,
sql,130,' sql' | ' sql'] | sql | ['sql' | 'sql',True,False,True,False,False,False,
machine learning,101,' machine learning' | ['machine learning' | ' machine learning'] | ' machine learning | 'machine learning'],True,True,False,False,False,False,model_development_basics
java,80,' java' | ['java' | ' java'] | 'java'],False,False,False,True,False,False,
hadoop,78,' hadoop' | ' hadoop'] | ['hadoop',False,False,False,True,False,False,
analysis,76,['analysis' | ' analysis',False,True,False,True,False,False,
algorithms,70,['algorithms' | ' algorithms' | ' algorithms'],False,False,False,True,False,False,
data science,61,['data science' | ' data science' | ' data science'] | ['data science | ['data science'],True,True,False,False,False,False,
development,61,' development',False,False,False,True,False,False,
modeling,58,' modeling' | ['modeling' | ' modeling'],False,True,False,True,False,False,
data mining,55,' data mining' | data mining | ['data mining',False,False,False,True,False,False,
research,54,' research' | ' research'],False,False,False,True,False,False,
management,53,' management' | ['management',False,False,False,True,False,False,
sas,51,' sas' | ' sas'] | ['sas' | ' sas ',True,False,True,False,False,False,
programming,46,' programming',False,False,False,True,False,False,
data analysis,40,' data analysis' | 'data analysis' | ' data analysis'] | ['data analysis',True,False,False,False,False,False,
spark,39,' spark'] | ' spark' | 'spark' | ' spark ' | ['spark',True,False,True,False,False,False,
database,38,' database' | ['database',False,False,False,True,False,False,
natural language processing,34,' nlp' | ' natural language processing' | ['nlp'] | ' nlp'],False,True,False,True,False,False,
testing,29,' testing'] | ' testing',False,False,False,True,False,False,
project,27,' project',False,False,False,True,False,False,
security,27,' security' | ' security'],False,False,False,True,False,False,
statistics,27,' statistics' | statistics' | ' statistics'] | 'statistics' | ' statistics ',False,True,False,True,False,False,
artificial intelligence,24,' artificial intelligence' | ' artificial intelligence'],False,False,False,True,False,False,
c++,24,' c++' | ' c++'],False,False,False,True,False,False,
statistical analysis,24,' statistical analysis' | ' statistical analysis'] | ['statistical analysis',False,False,False,True,True,False,
agile,22,['agile' | ' agile'] | ' agile',False,False,False,True,False,False,
automated,22,' automated' | ['automated',False,False,False,True,False,False,
ai,20,' ai' | ' ai'] | ['ai',False,False,False,True,False,False,
architecture,20,' architecture' | ['architecture',False,False,False,True,False,False,
big data,20,' big data' | ['big data' | ' big data'],False,False,False,True,False,False,
hive,20,' hive'] | ' hive' | hive,False,False,False,True,False,False,
tensorflow,20,' tensorflow'] | ' tensorflow' | 'tensorflow'] | 'tensorflow',True,False,True,False,False,False,
aws,19,' aws'] | ' aws' | ['aws' | aws,False,False,True,True,False,False,
mysql,19,' mysql',False,False,False,True,False,False,
analytics,18,' analytics'] | ' analytics',True,True,False,False,False,False,
data modeling,18,' data modeling' | ' data modeling'] | ['data modeling',False,False,False,True,True,False,
linux,18,'linux' | ' linux',False,False,False,True,False,False,
networks,18,' networks',False,False,False,True,False,False,
tableau,18,' tableau' | ' tableau'],True,False,True,False,False,False,
analyst,17,['analyst' | ' analyst',False,False,False,True,False,False,
metrics,17,' metrics',False,False,False,True,False,False,
nosql,17,nosql'] | ' nosql',False,False,False,True,False,False,
oracle,17,' oracle',False,False,False,True,False,False,
scala,17,' scala'] | ' scala' | ['scala',False,False,False,True,False,False,
sql server,17,' sql server' | ['sql server | ['sql server',False,False,False,True,False,True,
excel,16,' excel' | ' excel'],True,False,False,False,False,True,
mathematical,16,' mathematical',False,False,False,True,False,False,
physics,15,' physics',False,False,False,True,False,False,
genetic,14,' genetic',False,False,False,True,False,False,
javascript,14,' javascript' | ' javascript'],False,False,False,True,False,False,
consulting,13,' consulting',False,False,False,True,False,False,
data warehouse,12,' data warehouse' | ['data warehouse' | ' data warehouse'],False,False,False,True,False,False,
pandas,12,' pandas' | ' pandas'],True,False,False,False,False,True,
perl,11,' perl',False,False,False,True,False,False,
postgresql,11,' postgresql',False,False,False,True,False,False,
scripts,11,' scripts' | ' scripts'],False,False,False,True,False,False,
algorithm,10,' algorithm'] | ['algorithm' | ' algorithm',False,False,False,True,False,False,
data collection,10,' data collection',False,False,False,True,False,False,
deep learning,10,' deep learning'] | ' deep learning',True,True,False,False,False,False,model_development_basics
etl,10,['etl' | ' etl' | ['etl,False,False,False,True,False,False,
matlab,10,' matlab',False,False,False,True,False,False,
numpy,10,' numpy' | ' numpy'],True,False,False,False,False,True,
scientific,10,' scientific',False,False,False,True,False,False,
teradata,10,' teradata'] | ' teradata',False,False,False,True,False,False,
unix,10,' unix'] | unix | ' unix',False,False,False,True,False,False,
director,9,' director',False,False,False,True,False,False,
predictive analytics,9,predictive analytics | ' predictive analytics'] | ' predictive analytics',False,False,False,True,False,False,
api,8,' api' | ['api' | 'api',False,False,False,True,False,False,
business intelligence,8,' business intelligence' | ['business intelligence',False,False,False,True,False,False,
data analytics,8,['data analytics' | ' data analytics',False,False,False,True,False,False,
http,8,' http' | ' http'],False,False,False,True,False,False,
julia,8,' julia',False,False,False,True,False,False,
large data sets,8,' large data sets',False,False,False,True,False,False,
mongodb,8,' mongodb' | ' mongodb'],False,False,False,True,False,False,
redshift,8,' redshift' | ' redshift | ' redshift'],False,False,False,True,False,False,
sales,8,' sales',False,False,False,True,False,False,
simulation,8,' simulation' | ' simulation'],False,False,False,True,False,False,
apache spark,7,' apache spark'] | ' apache spark',False,False,False,True,False,True,
azure,7,' azure' | ' azure'],False,False,True,True,False,False,
business objects,7,' business objects' | ' business objects'],False,False,False,True,False,False,
crm,7,' crm'] | ' crm',False,False,False,True,False,False,
data,7,['data' | ' data' | data,False,False,False,True,False,False,
developer,7,' developer',False,False,False,True,False,False,
libraries,7,' libraries',False,False,False,True,False,False,
lifecycle,7,' lifecycle',False,False,False,True,False,False,
phd,7,['phd' | ' phd'] | ' phd',False,False,False,True,False,False,
software engineer,7,' software engineer'] | ' software engineer',False,False,False,True,False,False,
validation,7,' validation'],False,False,False,True,False,False,
apache,6,' apache' | ['apache',False,False,False,True,False,False,
case,6,' case',False,False,False,True,False,False,
foundation,6,' foundation',False,False,False,True,False,False,
